Date,Latitude,Longitude,Elevation,Rainfall_mm,Temperature_C,Humidity_%,Wind_Speed_kmh,Pressure_hPa,Soil_Moisture_%,Slope_deg,Rock_Type,Soil_Type,Vegetation_Density,Drainage_Density,Earthquake_Magnitude,Tremors_Detected,Deforestation_Rate_%,Mining_Activity,Urban_Development,Landslide_Occurrence
2019-05-06,26.87270059423681,81.86820409233349,2324.995777474926,319.07228418608696,8.451041854198742,86.25129199267778,37.077760155879766,908.5322204671133,81.81644524672113,53.24375366913773,Limestone,Clay,0.6898738944204807,0.000755789895118375,4.737476321080888,0,70.16486365369555,0,1,1
2007-07-02,29.75357153204958,81.66456048115701,961.2799889967789,229.64622676709655,-0.7332001177073888,54.50653393474334,44.05509375481584,1065.7009239353174,14.526976238405542,54.8944842064878,Granite,Loamy,0.3056484107233899,0.1638201446314822,3.6163036417755454,0,90.13395949376232,0,0,0
2005-07-24,28.659969709057027,80.8807695625143,1366.5992359247155,482.2492624319704,0.6861651237497188,27.591904956896723,23.158993768950047,949.8615164518815,94.6463795305265,25.810477696549224,Granite,Loamy,0.6292135434056781,0.849583924820061,4.179813827786301,0,80.8807337526008,0,0,0
2021-08-19,27.993292420985185,83.03633335050743,2158.2015921445454,109.48922549211909,3.1302007681414814,76.29776079490833,14.45893658367038,956.7874728711738,84.32241152465409,17.739689729312097,Granite,Loamy,0.28627276839320714,0.5200857781506983,6.650135989933496,0,15.799100330806992,0,0,0
2011-03-04,25.780093202212182,82.38312080254315,1705.2233613111998,293.9282079994703,4.164400046422676,47.681032211496614,15.942328717773075,945.2490556697732,91.88532982333358,15.541357797158541,Shale,Silty,0.03065709365831215,0.7673835223059962,5.718955923102154,0,3.3531379350435597,0,1,0
2010-06-30,25.779972601681013,84.32850496162001,2346.427596587235,350.1050074951113,5.901781414474483,63.516473510724744,34.847412918219696,1068.0167910443924,28.564440691171278,53.50742026319417,Granite,Clay,0.7273400589016432,0.30123429875538466,4.228648342894222,0,44.64407477952689,0,1,1
2010-01-03,25.290418060841,80.16054790241029,2903.019753057149,412.7822446726908,6.495701303357247,19.653876115654494,28.37790169957481,1095.7803990812604,33.55699391464544,17.717238738627167,Limestone,Sandy,0.5432999432509799,0.9214050627089391,4.260601267577847,0,97.37220351748745,0,0,0
2008-02-18,29.330880728874675,83.21933963777563,791.3667192879938,203.48551521400356,15.507235546939118,66.84255905643931,24.324706548862856,1051.037330186007,46.9925434544209,34.19614757413847,Sandstone,Loamy,0.6442361423561317,0.8990196399161893,2.226406634755887,0,45.77138741985619,0,0,0
2021-07-09,28.005575058716044,83.8147443925578,2273.9192909951526,343.46095382874074,17.930793587171856,43.61954400506119,10.138703938808701,1064.715572093838,22.420066657724846,23.24566056932464,Shale,Silty,0.1772857264088803,0.32131402858321856,0.1025482801774229,0,48.30973829556539,0,0,0
2007-04-20,28.540362888980226,83.79743284594153,1075.8603890802863,151.6007356921414,8.899564365686018,40.077077474664506,43.77278437494517,1024.1000921038676,46.5422589018991,32.44144910703996,Shale,Silty,0.617449950242197,0.8511692710442123,1.492393522978115,0,67.35342155420413,0,0,0
